"filename", "language", "YAML", "Properties", "Markdown", "JSON", "C++", "Groovy", "Swift", "XML", "Ruby", "Dart", "HTML", "comment", "blank", "total"
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\analysis_options.yaml", "YAML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 8, 63
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\google-services.json", "JSON", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 11, 1, 30
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 1, 8
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\google-services.json", "JSON", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\gradle.properties", "Properties", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 5, 30
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\devtools_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\firebase.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Podfile", "Ruby", 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 2, 10, 45
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\firebase_options-orig.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 12, 3, 63
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 0, 12, 4, 71
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\globals.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 6, 4, 41
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\filter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 11, 90
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\fitting_renter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 4, 11, 55
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 214, 0, 4, 15, 233
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item_image.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 5, 13
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item_renter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 4, 10, 66
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 3, 11, 62
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\renter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 4, 10, 82
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\authenticate.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 0, 3, 12, 169
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register_name.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 130, 0, 39, 9, 178
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 47, 29, 399
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\sign_in.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 352, 0, 48, 19, 419
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\browse.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 2, 3, 48
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\category_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 140, 0, 9, 6, 155
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\designer_item_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 137, 0, 17, 27, 181
"c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\designer_list_view.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 42
