Date : 2024-12-28 00:11:32
Directory : c:\Users\Chris Milner\Dev\Code\Flutter\revivals2
Total : 179 files,  15992 codes, 1687 comments, 1722 blanks, all 19401 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        127 |     14,289 |      1,467 |      1,442 |     17,198 |
| C++        |         16 |        572 |        127 |        188 |        887 |
| XML        |         10 |        454 |         53 |         12 |        519 |
| JSON       |          7 |        349 |          0 |          3 |        352 |
| Groovy     |          3 |         83 |         13 |         16 |        112 |
| YAML       |          3 |         79 |          2 |         10 |         91 |
| Swift      |          6 |         68 |          7 |         20 |         95 |
| Ruby       |          2 |         66 |          3 |         20 |         89 |
| HTML       |          1 |         19 |         15 |          5 |         39 |
| Properties |          2 |          8 |          0 |          2 |         10 |
| Markdown   |          2 |          5 |          0 |          4 |          9 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                         |        179 |     15,992 |      1,687 |      1,722 |     19,401 |
| . (Files)                                                                                                                 |          5 |         82 |          2 |         12 |         96 |
| android                                                                                                                   |         14 |        241 |         64 |         27 |        332 |
| android (Files)                                                                                                           |          4 |         87 |          3 |          9 |         99 |
| android\app                                                                                                               |          9 |        149 |         61 |         17 |        227 |
| android\app (Files)                                                                                                       |          2 |         99 |         10 |          8 |        117 |
| android\app\src                                                                                                           |          7 |         50 |         51 |          9 |        110 |
| android\app\src\debug                                                                                                     |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                                      |          5 |         44 |         43 |          7 |         94 |
| android\app\src\main (Files)                                                                                              |          1 |         18 |         11 |          1 |         30 |
| android\app\src\main\res                                                                                                  |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                     |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                           |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                     |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                   |          1 |          3 |          4 |          1 |          8 |
| android\gradle                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                       |          9 |        262 |          6 |         23 |        291 |
| ios (Files)                                                                                                               |          1 |         33 |          2 |         10 |         45 |
| ios\Runner                                                                                                                |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                        |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                           |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                                |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                             |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                           |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                     |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                       |        127 |     14,289 |      1,467 |      1,442 |     17,198 |
| lib (Files)                                                                                                               |          5 |        199 |         35 |         22 |        256 |
| lib\models                                                                                                                |          7 |        509 |         19 |         73 |        601 |
| lib\screens                                                                                                               |         89 |     11,069 |      1,254 |      1,051 |     13,374 |
| lib\screens (Files)                                                                                                       |          1 |         90 |         15 |         13 |        118 |
| lib\screens\authenticate                                                                                                  |          5 |        984 |        137 |         74 |      1,195 |
| lib\screens\browse                                                                                                        |          8 |        656 |         57 |         73 |        786 |
| lib\screens\favourites                                                                                                    |          1 |         78 |         11 |         12 |        101 |
| lib\screens\fitting                                                                                                       |          3 |        368 |         30 |         37 |        435 |
| lib\screens\help_centre                                                                                                   |          6 |      1,435 |         79 |         44 |      1,558 |
| lib\screens\home                                                                                                          |          8 |        349 |         45 |         48 |        442 |
| lib\screens\profile                                                                                                       |         40 |      5,098 |        542 |        529 |      6,169 |
| lib\screens\profile (Files)                                                                                               |         25 |      2,657 |        268 |        285 |      3,210 |
| lib\screens\profile\accounts                                                                                              |          5 |        512 |         65 |         56 |        633 |
| lib\screens\profile\create                                                                                                |          3 |      1,199 |        129 |         88 |      1,416 |
| lib\screens\profile\edit                                                                                                  |          1 |        285 |         63 |         38 |        386 |
| lib\screens\profile\messages                                                                                              |          2 |        156 |         10 |         22 |        188 |
| lib\screens\profile\verify                                                                                                |          4 |        289 |          7 |         40 |        336 |
| lib\screens\sign_up                                                                                                       |          3 |        277 |         73 |         38 |        388 |
| lib\screens\summary                                                                                                       |          6 |        718 |         98 |         68 |        884 |
| lib\screens\to_rent                                                                                                       |          8 |      1,016 |        167 |        115 |      1,298 |
| lib\services                                                                                                              |          3 |        498 |         35 |         65 |        598 |
| lib\shared                                                                                                                |         23 |      2,014 |        124 |        231 |      2,369 |
| linux                                                                                                                     |          5 |        114 |         33 |         44 |        191 |
| linux (Files)                                                                                                             |          3 |         94 |         24 |         33 |        151 |
| linux\flutter                                                                                                             |          2 |         20 |          9 |         11 |         40 |
| macos                                                                                                                     |          7 |        493 |          6 |         26 |        525 |
| macos (Files)                                                                                                             |          1 |         33 |          1 |         10 |         44 |
| macos\Flutter                                                                                                             |          1 |         22 |          3 |          4 |         29 |
| macos\Runner                                                                                                              |          4 |        431 |          0 |          8 |        439 |
| macos\Runner (Files)                                                                                                      |          2 |         20 |          0 |          6 |         26 |
| macos\RunnerTests                                                                                                         |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                              |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                           |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                                   |          1 |        343 |          0 |          1 |        344 |
| web                                                                                                                       |          2 |         54 |         15 |          5 |         74 |
| windows                                                                                                                   |         10 |        457 |         94 |        143 |        694 |
| windows\flutter                                                                                                           |          2 |         29 |          9 |         11 |         49 |
| windows\runner                                                                                                            |          8 |        428 |         85 |        132 |        645 |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\README.md                                                                | Markdown   |          2 |          0 |          2 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\analysis_options.yaml                                                    | YAML       |          1 |          0 |          1 |          2 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\build.gradle                                                 | Groovy     |         45 |         10 |          8 |         63 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\google-services.json                                         | JSON       |         54 |          0 |          0 |         54 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\debug\AndroidManifest.xml                                | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\AndroidManifest.xml                                 | XML        |         18 |         11 |          1 |         30 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\drawable-v21\launch_background.xml              | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\drawable\launch_background.xml                  | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\values-night\styles.xml                         | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\main\res\values\styles.xml                               | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\app\src\profile\AndroidManifest.xml                              | XML        |          3 |          4 |          1 |          8 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\build.gradle                                                     | Groovy     |         16 |          0 |          3 |         19 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\google-services.json                                             | JSON       |         46 |          0 |          0 |         46 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\gradle.properties                                                | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\gradle\wrapper\gradle-wrapper.properties                         | Properties |          5 |          0 |          1 |          6 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\android\settings.gradle                                                  | Groovy     |         22 |          3 |          5 |         30 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\devtools_options.yaml                                                    | YAML       |          3 |          0 |          1 |          4 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\firebase.json                                                            | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Podfile                                                              | Ruby       |         33 |          2 |         10 |         45 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\RunnerTests\RunnerTests.swift                                        | Swift      |          7 |          2 |          4 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\AppDelegate.swift                                             | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json              | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json            | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Base.lproj\LaunchScreen.storyboard                            | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Base.lproj\Main.storyboard                                    | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\ios\Runner\Runner-Bridging-Header.h                                      | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\firebase_options-orig.dart                                           | Dart       |         48 |         12 |          3 |         63 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\firebase_options.dart                                                | Dart       |         55 |         12 |          4 |         71 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\globals.dart                                                         | Dart       |          4 |          0 |          4 |          8 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\main.dart                                                            | Dart       |         31 |          6 |          4 |         41 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\filter.dart                                                   | Dart       |         79 |          0 |         11 |         90 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\fitting_renter.dart                                           | Dart       |         40 |          4 |         11 |         55 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item.dart                                                     | Dart       |        214 |          4 |         15 |        233 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item_image.dart                                               | Dart       |          8 |          0 |          5 |         13 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\item_renter.dart                                              | Dart       |         52 |          4 |         10 |         66 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\message.dart                                                  | Dart       |         48 |          3 |         11 |         62 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\models\renter.dart                                                   | Dart       |         68 |          4 |         10 |         82 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\authenticate.dart                               | Dart       |         25 |          0 |          5 |         30 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register.dart                                   | Dart       |        154 |          3 |         12 |        169 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register_name.dart                              | Dart       |        130 |         39 |          9 |        178 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\register_password.dart                          | Dart       |        323 |         47 |         29 |        399 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\authenticate\sign_in.dart                                    | Dart       |        352 |         48 |         19 |        419 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\browse.dart                                           | Dart       |         43 |          2 |          3 |         48 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\category_list_view.dart                               | Dart       |        140 |          9 |          6 |        155 |
| c:\Users\Chris Milner\Dev\Code\Flutter\revivals2\lib\screens\browse\designer_item_card.dart                               | Dart       |        137 |         17 |         27 |        181 |
